From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q14160	Q14160	reviewed	SCRIB_HUMAN	Protein scribble homolog (Scribble) (hScrib) (Protein LAP4)	SCRIB CRIB1 KIAA0147 LAP4 SCRB1 VARTUL	Homo sapiens (Human)	1630
Q05193	Q05193	reviewed	DYN1_HUMAN	Dynamin-1 (EC 3.6.5.5)	DNM1 DNM	Homo sapiens (Human)	864
A2A2Y4	A2A2Y4	reviewed	FRMD3_HUMAN	FERM domain-containing protein 3 (Band 4.1-like protein 4O) (Ovary type protein 4.1) (4.1O)	FRMD3 EPB41L4O	Homo sapiens (Human)	597
Q92504	Q92504	reviewed	S39A7_HUMAN	Zinc transporter SLC39A7 (Histidine-rich membrane protein Ke4) (Really interesting new gene 5 protein) (Solute carrier family 39 member 7) (Zrt-, Irt-like protein 7) (ZIP7)	SLC39A7 HKE4 RING5	Homo sapiens (Human)	469
Q05682	Q05682	reviewed	CALD1_HUMAN	Caldesmon (CDM)	CALD1 CAD CDM	Homo sapiens (Human)	793
Q9Y2H5	Q9Y2H5	reviewed	PKHA6_HUMAN	Pleckstrin homology domain-containing family A member 6 (PH domain-containing family A member 6) (Phosphoinositol 3-phosphate-binding protein 3) (PEPP-3)	PLEKHA6 KIAA0969 PEPP3	Homo sapiens (Human)	1048
Q8NEY8	Q8NEY8	reviewed	PPHLN_HUMAN	Periphilin-1 (CDC7 expression repressor) (CR) (Gastric cancer antigen Ga50)	PPHLN1 HSPC206 HSPC232	Homo sapiens (Human)	458
Q92733	Q92733	reviewed	PRCC_HUMAN	Proline-rich protein PRCC (Papillary renal cell carcinoma translocation-associated gene protein)	PRCC TPRC	Homo sapiens (Human)	491
Q2M2I8	Q2M2I8	reviewed	AAK1_HUMAN	AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1)	AAK1 KIAA1048	Homo sapiens (Human)	961
Q5T5Y3	Q5T5Y3	reviewed	CAMP1_HUMAN	Calmodulin-regulated spectrin-associated protein 1	CAMSAP1	Homo sapiens (Human)	1602
Q7KZI7	Q7KZI7	reviewed	MARK2_HUMAN	Serine/threonine-protein kinase MARK2 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif kinase 1) (EMK-1) (MAP/microtubule affinity-regulating kinase 2) (PAR1 homolog) (PAR1 homolog b) (Par-1b) (Par1b)	MARK2 EMK1	Homo sapiens (Human)	788
P46821	P46821	reviewed	MAP1B_HUMAN	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	MAP1B	Homo sapiens (Human)	2468
B2RUZ4	B2RUZ4	reviewed	SMIM1_HUMAN	Small integral membrane protein 1 (Vel blood group antigen)	SMIM1	Homo sapiens (Human)	78
Q15019	Q15019	reviewed	SEPT2_HUMAN	Septin-2 (Neural precursor cell expressed developmentally down-regulated protein 5) (NEDD-5)	SEPTIN2 DIFF6 KIAA0158 NEDD5 SEPT2	Homo sapiens (Human)	361
Q07157	Q07157	reviewed	ZO1_HUMAN	Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1)	TJP1 ZO1	Homo sapiens (Human)	1748
Q5VSL9	Q5VSL9	reviewed	STRP1_HUMAN	Striatin-interacting protein 1 (Protein FAM40A)	STRIP1 FAM40A KIAA1761	Homo sapiens (Human)	837
Q5SSJ5	Q5SSJ5	reviewed	HP1B3_HUMAN	Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74)	HP1BP3	Homo sapiens (Human)	553
P04792	P04792	reviewed	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205
Q12756	Q12756	reviewed	KIF1A_HUMAN	Kinesin-like protein KIF1A (Axonal transporter of synaptic vesicles) (Microtubule-based motor KIF1A) (Unc-104- and KIF1A-related protein) (hUnc-104)	KIF1A ATSV C2orf20	Homo sapiens (Human)	1690
Q92615	Q92615	reviewed	LAR4B_HUMAN	La-related protein 4B (La ribonucleoprotein domain family member 4B) (La ribonucleoprotein domain family member 5) (La-related protein 5)	LARP4B KIAA0217 LARP5	Homo sapiens (Human)	738
O43395	O43395	reviewed	PRPF3_HUMAN	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	PRPF3 HPRP3 PRP3	Homo sapiens (Human)	683
Q12809	Q12809	reviewed	KCNH2_HUMAN	Potassium voltage-gated channel subfamily H member 2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Voltage-gated potassium channel subunit Kv11.1)	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)	1159
P78559	P78559	reviewed	MAP1A_HUMAN	Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]	MAP1A MAP1L	Homo sapiens (Human)	2803
Q00610	Q00610	reviewed	CLH1_HUMAN	Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)	CLTC CLH17 CLTCL2 KIAA0034	Homo sapiens (Human)	1675
Q5JWF2	Q5JWF2	reviewed	GNAS1_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas (Adenylate cyclase-stimulating G alpha protein) (Extra large alphas protein) (XLalphas)	GNAS GNAS1	Homo sapiens (Human)	1037
P63092	P63092	reviewed	GNAS2_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)	GNAS GNAS1 GSP	Homo sapiens (Human)	394
Q16204	Q16204	reviewed	CCDC6_HUMAN	Coiled-coil domain-containing protein 6 (Papillary thyroid carcinoma-encoded protein) (Protein H4)	CCDC6 D10S170 TST1	Homo sapiens (Human)	474
Q9Y3S1	Q9Y3S1	reviewed	WNK2_HUMAN	Serine/threonine-protein kinase WNK2 (EC 2.7.11.1) (Antigen NY-CO-43) (Protein kinase lysine-deficient 2) (Protein kinase with no lysine 2) (Serologically defined colon cancer antigen 43)	WNK2 KIAA1760 PRKWNK2 SDCCAG43 P/OKcl.13	Homo sapiens (Human)	2297
Q15311	Q15311	reviewed	RBP1_HUMAN	RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)	RALBP1 RLIP RLIP1 RLIP76	Homo sapiens (Human)	655
Q96T37	Q96T37	reviewed	RBM15_HUMAN	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	RBM15 OTT OTT1	Homo sapiens (Human)	977
Q9Y4E1	Q9Y4E1	reviewed	WAC2C_HUMAN	WASH complex subunit 2C (Vaccinia virus penetration factor) (VPEF)	WASHC2C FAM21C KIAA0592 VPEF	Homo sapiens (Human)	1341
Q13409	Q13409	reviewed	DC1I2_HUMAN	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)	DYNC1I2 DNCI2 DNCIC2	Homo sapiens (Human)	638
Q01082	Q01082	reviewed	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	SPTBN1 SPTB2	Homo sapiens (Human)	2364
Q86T65	Q86T65	reviewed	DAAM2_HUMAN	Disheveled-associated activator of morphogenesis 2	DAAM2 KIAA0381	Homo sapiens (Human)	1068
P17029	P17029	reviewed	ZKSC1_HUMAN	Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18)	ZKSCAN1 KOX18 ZNF139 ZNF36	Homo sapiens (Human)	563
P49447	P49447	reviewed	CY561_HUMAN	Transmembrane ascorbate-dependent reductase CYB561 (EC 7.2.1.-) (Cytochrome b-561) (Cytochrome b561)	CYB561	Homo sapiens (Human)	251
Q9NX58	Q9NX58	reviewed	LYAR_HUMAN	Cell growth-regulating nucleolar protein	LYAR PNAS-5	Homo sapiens (Human)	379
Q9UHB6	Q9UHB6	reviewed	LIMA1_HUMAN	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)	LIMA1 EPLIN SREBP3 PP624	Homo sapiens (Human)	759
P42167	P42167	reviewed	LAP2B_HUMAN	Lamina-associated polypeptide 2, isoforms beta/gamma (Thymopoietin, isoforms beta/gamma) (TP beta/gamma) (Thymopoietin-related peptide isoforms beta/gamma) (TPRP isoforms beta/gamma) [Cleaved into: Thymopoietin (TP) (Splenin); Thymopentin (TP5)]	TMPO LAP2	Homo sapiens (Human)	454
P42166	P42166	reviewed	LAP2A_HUMAN	Lamina-associated polypeptide 2, isoform alpha (Thymopoietin isoform alpha) (TP alpha) (Thymopoietin-related peptide isoform alpha) (TPRP isoform alpha) [Cleaved into: Thymopoietin (TP) (Splenin); Thymopentin (TP5)]	TMPO LAP2	Homo sapiens (Human)	694
P05114	P05114	reviewed	HMGN1_HUMAN	Non-histone chromosomal protein HMG-14 (High mobility group nucleosome-binding domain-containing protein 1)	HMGN1 HMG14	Homo sapiens (Human)	100
Q96GP6	Q96GP6	reviewed	SREC2_HUMAN	Scavenger receptor class F member 2 (SRECRP-1) (Scavenger receptor expressed by endothelial cells 2 protein) (SREC-II)	SCARF2 SREC2 SREPCR	Homo sapiens (Human)	871
P04406	P04406	reviewed	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	335
Q15651	Q15651	reviewed	HMGN3_HUMAN	High mobility group nucleosome-binding domain-containing protein 3 (Thyroid receptor-interacting protein 7) (TR-interacting protein 7) (TRIP-7)	HMGN3 TRIP7 PNAS-24	Homo sapiens (Human)	99
Q86V59	Q86V59	reviewed	PNM8A_HUMAN	Paraneoplastic antigen-like protein 8A (PNMA-like protein 1)	PNMA8A PNMAL1	Homo sapiens (Human)	439
Q9C0C2	Q9C0C2	reviewed	TB182_HUMAN	182 kDa tankyrase-1-binding protein	TNKS1BP1 KIAA1741 TAB182	Homo sapiens (Human)	1729
Q9Y6X9	Q9Y6X9	reviewed	MORC2_HUMAN	ATPase MORC2 (EC 3.6.1.-) (MORC family CW-type zinc finger protein 2) (Zinc finger CW-type coiled-coil domain protein 1)	MORC2 KIAA0852 ZCWCC1	Homo sapiens (Human)	1032
Q96Q45	Q96Q45	reviewed	TM237_HUMAN	Transmembrane protein 237 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein)	TMEM237 ALS2CR4	Homo sapiens (Human)	408
Q86XP3	Q86XP3	reviewed	DDX42_HUMAN	ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42) (RNA helicase-like protein) (RHELP) (RNA helicase-related protein) (RNAHP) (SF3b DEAD box protein) (Splicing factor 3B-associated 125 kDa protein) (SF3b125)	DDX42	Homo sapiens (Human)	938
Q8IU81	Q8IU81	reviewed	I2BP1_HUMAN	Interferon regulatory factor 2-binding protein 1 (IRF-2-binding protein 1) (IRF-2BP1) (Probable E3 ubiquitin-protein ligase IRF2BP1) (EC 2.3.2.27) (Probable RING-type E3 ubiquitin transferase IRF2BP1)	IRF2BP1	Homo sapiens (Human)	584
C9J069	C9J069	reviewed	AJM1_HUMAN	Apical junction component 1 homolog	AJM1 C9orf172	Homo sapiens (Human)	976
Q9Y6X4	Q9Y6X4	reviewed	F169A_HUMAN	Soluble lamin-associated protein of 75 kDa (SLAP75) (Protein FAM169A)	FAM169A KIAA0888	Homo sapiens (Human)	670
Q13523	Q13523	reviewed	PRP4B_HUMAN	Serine/threonine-protein kinase PRP4 homolog (EC 2.7.11.1) (PRP4 kinase) (PRP4 pre-mRNA-processing factor 4 homolog)	PRPF4B KIAA0536 PRP4 PRP4H PRP4K	Homo sapiens (Human)	1007
P55265	P55265	reviewed	DSRAD_HUMAN	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	1226
A0FGR8	A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	ESYT2 FAM62B KIAA1228	Homo sapiens (Human)	921
Q15942	Q15942	reviewed	ZYX_HUMAN	Zyxin (Zyxin-2)	ZYX	Homo sapiens (Human)	572
P16104	P16104	reviewed	H2AX_HUMAN	Histone H2AX (H2a/x) (Histone H2A.X)	H2AX H2AFX	Homo sapiens (Human)	143
P83916	P83916	reviewed	CBX1_HUMAN	Chromobox protein homolog 1 (HP1Hsbeta) (Heterochromatin protein 1 homolog beta) (HP1 beta) (Heterochromatin protein p25) (M31) (Modifier 1 protein) (p25beta)	CBX1 CBX	Homo sapiens (Human)	185
P62995	P62995	reviewed	TRA2B_HUMAN	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)	288
Q96KP4	Q96KP4	reviewed	CNDP2_HUMAN	Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2) (Glutamate carboxypeptidase-like protein 1) (Peptidase A) (Threonyl dipeptidase)	CNDP2 CN2 CPGL HEL-S-13 PEPA	Homo sapiens (Human)	475
O43719	O43719	reviewed	HTSF1_HUMAN	HIV Tat-specific factor 1 (Tat-SF1)	HTATSF1	Homo sapiens (Human)	755
O75592	O75592	reviewed	MYCB2_HUMAN	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein associated with Myc)	MYCBP2 KIAA0916 PAM	Homo sapiens (Human)	4678
O15075	O15075	reviewed	DCLK1_HUMAN	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	DCLK1 DCAMKL1 DCDC3A KIAA0369	Homo sapiens (Human)	740
P21291	P21291	reviewed	CSRP1_HUMAN	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	CSRP1 CSRP CYRP	Homo sapiens (Human)	193
P46379	P46379	reviewed	BAG6_HUMAN	Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe)	BAG6 BAT3 G3	Homo sapiens (Human)	1132
Q5VT52	Q5VT52	reviewed	RPRD2_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 2	RPRD2 KIAA0460 HSPC099	Homo sapiens (Human)	1461
P51991	P51991	reviewed	ROA3_HUMAN	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	HNRNPA3 HNRPA3	Homo sapiens (Human)	378
Q15052	Q15052	reviewed	ARHG6_HUMAN	Rho guanine nucleotide exchange factor 6 (Alpha-Pix) (COOL-2) (PAK-interacting exchange factor alpha) (Rac/Cdc42 guanine nucleotide exchange factor 6)	ARHGEF6 COOL2 KIAA0006 PIXA	Homo sapiens (Human)	776
P35908	P35908	reviewed	K22E_HUMAN	Keratin, type II cytoskeletal 2 epidermal (Cytokeratin-2e) (CK-2e) (Epithelial keratin-2e) (Keratin-2 epidermis) (Keratin-2e) (K2e) (Type-II keratin Kb2)	KRT2 KRT2A KRT2E	Homo sapiens (Human)	639
P51858	P51858	reviewed	HDGF_HUMAN	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	HDGF HMG1L2	Homo sapiens (Human)	240
P45985	P45985	reviewed	MP2K4_HUMAN	Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK)	MAP2K4 JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1	Homo sapiens (Human)	399
P69905	P69905	reviewed	HBA_HUMAN	Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin]	HBA1; HBA2	Homo sapiens (Human)	142
Q9H501	Q9H501	reviewed	ESF1_HUMAN	ESF1 homolog (ABT1-associated protein)	ESF1 ABTAP C20orf6 HDCMC28P	Homo sapiens (Human)	851
Q14978	Q14978	reviewed	NOLC1_HUMAN	Nucleolar and coiled-body phosphoprotein 1 (140 kDa nucleolar phosphoprotein) (Nopp140) (Hepatitis C virus NS5A-transactivated protein 13) (HCV NS5A-transactivated protein 13) (Nucleolar 130 kDa protein) (Nucleolar phosphoprotein p130)	NOLC1 KIAA0035 NS5ATP13	Homo sapiens (Human)	699
