From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q96LD4	Q96LD4	reviewed	TRI47_HUMAN	E3 ubiquitin-protein ligase TRIM47 (EC 2.3.2.27) (Gene overexpressed in astrocytoma protein) (RING finger protein 100) (Tripartite motif-containing protein 47)	TRIM47 GOA RNF100	Homo sapiens (Human)	638
O00481	O00481	reviewed	BT3A1_HUMAN	Butyrophilin subfamily 3 member A1 (CD antigen CD277)	BTN3A1 BTF5	Homo sapiens (Human)	513
Q12965	Q12965	reviewed	MYO1E_HUMAN	Unconventional myosin-Ie (Myosin-Ic) (Unconventional myosin 1E)	MYO1E MYO1C	Homo sapiens (Human)	1108
P05362	P05362	reviewed	ICAM1_HUMAN	Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54)	ICAM1	Homo sapiens (Human)	532
Q9UH65	Q9UH65	reviewed	SWP70_HUMAN	Switch-associated protein 70 (SWAP-70)	SWAP70 KIAA0640 HSPC321	Homo sapiens (Human)	585
O75531	O75531	reviewed	BAF_HUMAN	Barrier-to-autointegration factor (Breakpoint cluster region protein 1) [Cleaved into: Barrier-to-autointegration factor, N-terminally processed]	BANF1 BAF BCRG1	Homo sapiens (Human)	89
Q8IY21	Q8IY21	reviewed	DDX60_HUMAN	Probable ATP-dependent RNA helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60)	DDX60	Homo sapiens (Human)	1712
P10646	P10646	reviewed	TFPI1_HUMAN	Tissue factor pathway inhibitor (TFPI) (Extrinsic pathway inhibitor) (EPI) (Lipoprotein-associated coagulation inhibitor) (LACI)	TFPI LACI TFPI1	Homo sapiens (Human)	304
O75953	O75953	reviewed	DNJB5_HUMAN	DnaJ homolog subfamily B member 5 (Heat shock protein Hsp40-2) (Heat shock protein Hsp40-3) (Heat shock protein cognate 40) (Hsc40)	DNAJB5 HSC40	Homo sapiens (Human)	348
P16403	P16403	reviewed	H12_HUMAN	Histone H1.2 (Histone H1c) (Histone H1d) (Histone H1s-1)	H1-2 H1F2 HIST1H1C	Homo sapiens (Human)	213
O00194	O00194	reviewed	RB27B_HUMAN	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)	RAB27B	Homo sapiens (Human)	218
P05090	P05090	reviewed	APOD_HUMAN	Apolipoprotein D (Apo-D) (ApoD)	APOD	Homo sapiens (Human)	189
O60504	O60504	reviewed	VINEX_HUMAN	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)	SORBS3 SCAM1	Homo sapiens (Human)	671
Q9UPZ6	Q9UPZ6	reviewed	THS7A_HUMAN	Thrombospondin type-1 domain-containing protein 7A [Cleaved into: Thrombospondin type-1 domain-containing protein 7A, soluble form]	THSD7A KIAA0960	Homo sapiens (Human)	1657
P35612	P35612	reviewed	ADDB_HUMAN	Beta-adducin (Erythrocyte adducin subunit beta)	ADD2 ADDB	Homo sapiens (Human)	726
Q9Y251	Q9Y251	reviewed	HPSE_HUMAN	Heparanase (EC 3.2.1.166) (Endo-glucoronidase) (Heparanase-1) (Hpa1) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit]	HPSE HEP HPA HPA1 HPR1 HPSE1 HSE1	Homo sapiens (Human)	543
P02775	P02775	reviewed	CXCL7_HUMAN	Platelet basic protein (PBP) (C-X-C motif chemokine 7) (Leukocyte-derived growth factor) (LDGF) (Macrophage-derived growth factor) (MDGF) (Small-inducible cytokine B7) [Cleaved into: Connective tissue-activating peptide III (CTAP-III) (LA-PF4) (Low-affinity platelet factor IV); TC-2; Connective tissue-activating peptide III(1-81) (CTAP-III(1-81)); Beta-thromboglobulin (Beta-TG); Neutrophil-activating peptide 2(74) (NAP-2(74)); Neutrophil-activating peptide 2(73) (NAP-2(73)); Neutrophil-activating peptide 2 (NAP-2); TC-1; Neutrophil-activating peptide 2(1-66) (NAP-2(1-66)); Neutrophil-activating peptide 2(1-63) (NAP-2(1-63))]	PPBP CTAP3 CXCL7 SCYB7 TGB1 THBGB1	Homo sapiens (Human)	128
P05106	P05106	reviewed	ITB3_HUMAN	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	ITGB3 GP3A	Homo sapiens (Human)	788
P01602	P01602	reviewed	KV105_HUMAN	Immunoglobulin kappa variable 1-5 (Ig kappa chain V-I region CAR) (Ig kappa chain V-I region EU) (Ig kappa chain V-I region HK102) (Ig kappa chain V-I region Kue)	IGKV1-5	Homo sapiens (Human)	117
O14975	O14975	reviewed	S27A2_HUMAN	Long-chain fatty acid transport protein 2 (Arachidonate--CoA ligase) (EC 6.2.1.15) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Phytanate--CoA ligase) (EC 6.2.1.24) (Solute carrier family 27 member 2) (THCA-CoA ligase) (EC 6.2.1.7) (Very long-chain acyl-CoA synthetase) (VLACS) (VLCS) (EC 6.2.1.-) (Very long-chain-fatty-acid-CoA ligase)	SLC27A2 ACSVL1 FACVL1 FATP2 VLACS	Homo sapiens (Human)	620
Q9Y6G3	Q9Y6G3	reviewed	RM42_HUMAN	Large ribosomal subunit protein mL42 (39S ribosomal protein L31, mitochondrial) (L31mt) (MRP-L31) (39S ribosomal protein L42, mitochondrial) (L42mt) (MRP-L42)	MRPL42 MRPL31 MRPS32 RPML31 HSPC204 PTD007	Homo sapiens (Human)	142
Q12913	Q12913	reviewed	PTPRJ_HUMAN	Receptor-type tyrosine-protein phosphatase eta (Protein-tyrosine phosphatase eta) (R-PTP-eta) (EC 3.1.3.48) (Density-enhanced phosphatase 1) (DEP-1) (HPTP eta) (Protein-tyrosine phosphatase receptor type J) (R-PTP-J) (CD antigen CD148)	PTPRJ DEP1	Homo sapiens (Human)	1337
P02792	P02792	reviewed	FRIL_HUMAN	Ferritin light chain (Ferritin L subunit)	FTL	Homo sapiens (Human)	175
O95678	O95678	reviewed	K2C75_HUMAN	Keratin, type II cytoskeletal 75 (Cytokeratin-75) (CK-75) (Keratin-6 hair follicle) (hK6hf) (Keratin-75) (K75) (Type II keratin-K6hf) (Type-II keratin Kb18)	KRT75 K6HF KB18	Homo sapiens (Human)	551
O43707	O43707	reviewed	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	ACTN4	Homo sapiens (Human)	911
Q14149	Q14149	reviewed	MORC3_HUMAN	MORC family CW-type zinc finger protein 3 (Nuclear matrix protein 2) (Zinc finger CW-type coiled-coil domain protein 3)	MORC3 KIAA0136 NXP2 ZCWCC3	Homo sapiens (Human)	939
P00747	P00747	reviewed	PLMN_HUMAN	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]	PLG	Homo sapiens (Human)	810
P01023	P01023	reviewed	A2MG_HUMAN	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007	Homo sapiens (Human)	1474
Q6UWR7	Q6UWR7	reviewed	ENPP6_HUMAN	Glycerophosphocholine cholinephosphodiesterase ENPP6 (GPC-Cpde) (EC 3.1.4.-) (EC 3.1.4.38) (Choline-specific glycerophosphodiester phosphodiesterase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 6) (E-NPP 6) (NPP-6)	ENPP6 UNQ1889/PRO4334	Homo sapiens (Human)	440
Q9Y4H2	Q9Y4H2	reviewed	IRS2_HUMAN	Insulin receptor substrate 2 (IRS-2)	IRS2	Homo sapiens (Human)	1338
Q86YZ3	Q86YZ3	reviewed	HORN_HUMAN	Hornerin	HRNR S100A18	Homo sapiens (Human)	2850
P13224	P13224	reviewed	GP1BB_HUMAN	Platelet glycoprotein Ib beta chain (GP-Ib beta) (GPIb-beta) (GPIbB) (Antigen CD42b-beta) (CD antigen CD42c)	GP1BB	Homo sapiens (Human)	206
P12829	P12829	reviewed	MYL4_HUMAN	Myosin light chain 4 (Myosin light chain 1, embryonic muscle/atrial isoform) (Myosin light chain alkali GT-1 isoform)	MYL4 MLC1 PRO1957	Homo sapiens (Human)	197
P08138	P08138	reviewed	TNR16_HUMAN	Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD) (CD antigen CD271)	NGFR TNFRSF16	Homo sapiens (Human)	427
Q7Z5R6	Q7Z5R6	reviewed	AB1IP_HUMAN	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein (APBB1-interacting protein 1) (Proline-rich EVH1 ligand 1) (PREL-1) (Proline-rich protein 73) (Rap1-GTP-interacting adapter molecule) (RIAM) (Retinoic acid-responsive proline-rich protein 1) (RARP-1)	APBB1IP PREL1 RARP1 RIAM	Homo sapiens (Human)	666
Q8N0V3	Q8N0V3	reviewed	RBFA_HUMAN	Putative ribosome-binding factor A, mitochondrial	RBFA C18orf22	Homo sapiens (Human)	343
P13797	P13797	reviewed	PLST_HUMAN	Plastin-3 (T-plastin)	PLS3	Homo sapiens (Human)	630
Q9UNN8	Q9UNN8	reviewed	EPCR_HUMAN	Endothelial protein C receptor (Activated protein C receptor) (APC receptor) (Endothelial cell protein C receptor) (CD antigen CD201)	PROCR EPCR	Homo sapiens (Human)	238
Q9NZU5	Q9NZU5	reviewed	LMCD1_HUMAN	LIM and cysteine-rich domains protein 1 (Dyxin)	LMCD1	Homo sapiens (Human)	365
O43759	O43759	reviewed	SNG1_HUMAN	Synaptogyrin-1	SYNGR1	Homo sapiens (Human)	233
P21397	P21397	reviewed	AOFA_HUMAN	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	MAOA	Homo sapiens (Human)	527
Q7Z769	Q7Z769	reviewed	S35E3_HUMAN	Solute carrier family 35 member E3 (Bladder cancer-overexpressed gene 1 protein)	SLC35E3 BLOV1 UNQ3043/PRO9859	Homo sapiens (Human)	313
Q9NSI6	Q9NSI6	reviewed	BRWD1_HUMAN	Bromodomain and WD repeat-containing protein 1 (WD repeat-containing protein 9)	BRWD1 C21orf107 WDR9	Homo sapiens (Human)	2320
Q6ZUX7	Q6ZUX7	reviewed	LHPL2_HUMAN	LHFPL tetraspan subfamily member 2 protein (Lipoma HMGIC fusion partner-like 2 protein)	LHFPL2 KIAA0206	Homo sapiens (Human)	228
Q14BN4	Q14BN4	reviewed	SLMAP_HUMAN	Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein)	SLMAP KIAA1601 SLAP UNQ1847/PRO3577	Homo sapiens (Human)	828
P00738	P00738	reviewed	HPT_HUMAN	Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain]	HP	Homo sapiens (Human)	406
P22087	P22087	reviewed	FBRL_HUMAN	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN	Homo sapiens (Human)	321
P07305	P07305	reviewed	H10_HUMAN	Histone H1.0 (Histone H1') (Histone H1(0)) [Cleaved into: Histone H1.0, N-terminally processed]	H1-0 H1F0 H1FV	Homo sapiens (Human)	194
P61224	P61224	reviewed	RAP1B_HUMAN	Ras-related protein Rap-1b (EC 3.6.5.2) (GTP-binding protein smg p21B)	RAP1B OK/SW-cl.11	Homo sapiens (Human)	184
Q8N3G9	Q8N3G9	reviewed	TM130_HUMAN	Transmembrane protein 130	TMEM130 UNQ719/PRO1383	Homo sapiens (Human)	435
Q8N8S7	Q8N8S7	reviewed	ENAH_HUMAN	Protein enabled homolog	ENAH MENA	Homo sapiens (Human)	591
P17655	P17655	reviewed	CAN2_HUMAN	Calpain-2 catalytic subunit (EC 3.4.22.53) (Calcium-activated neutral proteinase 2) (CANP 2) (Calpain M-type) (Calpain large polypeptide L2) (Calpain-2 large subunit) (Millimolar-calpain) (M-calpain)	CAPN2 CANPL2	Homo sapiens (Human)	700
O60701	O60701	reviewed	UGDH_HUMAN	UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)	UGDH	Homo sapiens (Human)	494
Q5T5P2	Q5T5P2	reviewed	SKT_HUMAN	Sickle tail protein homolog	KIAA1217 SKT	Homo sapiens (Human)	1943
P02647	P02647	reviewed	APOA1_HUMAN	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	APOA1	Homo sapiens (Human)	267
Q96CX2	Q96CX2	reviewed	KCD12_HUMAN	BTB/POZ domain-containing protein KCTD12 (Pfetin) (Predominantly fetal expressed T1 domain)	KCTD12 C13orf2 KIAA1778 PFET1	Homo sapiens (Human)	325
P01703	P01703	reviewed	LV140_HUMAN	Immunoglobulin lambda variable 1-40 (Ig lambda chain V-I region NEWM)	IGLV1-40	Homo sapiens (Human)	118
Q9Y4D1	Q9Y4D1	reviewed	DAAM1_HUMAN	Disheveled-associated activator of morphogenesis 1	DAAM1 KIAA0666	Homo sapiens (Human)	1078
P11217	P11217	reviewed	PYGM_HUMAN	Glycogen phosphorylase, muscle form (EC 2.4.1.1) (Myophosphorylase)	PYGM	Homo sapiens (Human)	842
Q93052	Q93052	reviewed	LPP_HUMAN	Lipoma-preferred partner (LIM domain-containing preferred translocation partner in lipoma)	LPP	Homo sapiens (Human)	612
P28065	P28065	reviewed	PSB9_HUMAN	Proteasome subunit beta type-9 (EC 3.4.25.1) (Low molecular mass protein 2) (Macropain chain 7) (Multicatalytic endopeptidase complex chain 7) (Proteasome chain 7) (Proteasome subunit beta-1i) (Really interesting new gene 12 protein)	PSMB9 LMP2 PSMB6i RING12	Homo sapiens (Human)	219
P19012	P19012	reviewed	K1C15_HUMAN	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15 KRTB	Homo sapiens (Human)	456
Q9NP74	Q9NP74	reviewed	PALMD_HUMAN	Palmdelphin (Paralemmin-like protein)	PALMD C1orf11 PALML	Homo sapiens (Human)	551
Q9UDR5	Q9UDR5	reviewed	AASS_HUMAN	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]	AASS	Homo sapiens (Human)	926
P07942	P07942	reviewed	LAMB1_HUMAN	Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta)	LAMB1	Homo sapiens (Human)	1786
P21291	P21291	reviewed	CSRP1_HUMAN	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	CSRP1 CSRP CYRP	Homo sapiens (Human)	193
Q14807	Q14807	reviewed	KIF22_HUMAN	Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein) (Kinesin-like protein 4)	KIF22 KID KNSL4	Homo sapiens (Human)	665
Q8WX93	Q8WX93	reviewed	PALLD_HUMAN	Palladin (SIH002) (Sarcoma antigen NY-SAR-77)	PALLD KIAA0992 CGI-151	Homo sapiens (Human)	1383
Q8NE62	Q8NE62	reviewed	CHDH_HUMAN	Choline dehydrogenase, mitochondrial (CDH) (CHD) (EC 1.1.99.1)	CHDH	Homo sapiens (Human)	594
P00488	P00488	reviewed	F13A_HUMAN	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	F13A1 F13A	Homo sapiens (Human)	732
Q9P0M6	Q9P0M6	reviewed	H2AW_HUMAN	Core histone macro-H2A.2 (Histone macroH2A2) (mH2A2)	MACROH2A2 H2AFY2	Homo sapiens (Human)	372
P25774	P25774	reviewed	CATS_HUMAN	Cathepsin S (EC 3.4.22.27)	CTSS	Homo sapiens (Human)	331
P04114	P04114	reviewed	APOB_HUMAN	Apolipoprotein B-100 (Apo B-100) [Cleaved into: Apolipoprotein B-48 (Apo B-48)]	APOB	Homo sapiens (Human)	4563
Q58F21	Q58F21	reviewed	BRDT_HUMAN	Bromodomain testis-specific protein (Cancer/testis antigen 9) (CT9) (RING3-like protein)	BRDT	Homo sapiens (Human)	947
O43854	O43854	reviewed	EDIL3_HUMAN	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	EDIL3 DEL1	Homo sapiens (Human)	480
Q9Y2Z9	Q9Y2Z9	reviewed	COQ6_HUMAN	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.13.-) (Coenzyme Q10 monooxygenase 6)	COQ6 CGI-10	Homo sapiens (Human)	468
Q9UK33	Q9UK33	reviewed	ZN580_HUMAN	Zinc finger protein 580 (LDL-induced EC protein)	ZNF580	Homo sapiens (Human)	172
Q9BRV3	Q9BRV3	reviewed	SWET1_HUMAN	Sugar transporter SWEET1 (HsSWEET1) (RAG1-activating protein 1) (Solute carrier family 50 member 1) (Stromal cell protein)	SLC50A1 RAG1AP1 SCP	Homo sapiens (Human)	221
O43760	O43760	reviewed	SNG2_HUMAN	Synaptogyrin-2 (Cellugyrin)	SYNGR2 UNQ352/PRO615	Homo sapiens (Human)	224
P09486	P09486	reviewed	SPRC_HUMAN	SPARC (Basement-membrane protein 40) (BM-40) (Osteonectin) (ON) (Secreted protein acidic and rich in cysteine)	SPARC ON	Homo sapiens (Human)	303
Q14956	Q14956	reviewed	GPNMB_HUMAN	Transmembrane glycoprotein NMB (Hematopoietic growth factor inducible neurokinin-1 type)	GPNMB HGFIN NMB UNQ1725/PRO9925	Homo sapiens (Human)	572
Q02127	Q02127	reviewed	PYRD_HUMAN	Dihydroorotate dehydrogenase (quinone), mitochondrial (DHOdehase) (EC 1.3.5.2) (Dihydroorotate oxidase)	DHODH	Homo sapiens (Human)	395
Q6DN03	Q6DN03	reviewed	H2B2C_HUMAN	Putative histone H2B type 2-C (H2B-clustered histone 20 pseudogene) (Histone H2B.t) (H2B/t)	H2BC20P HIST2H2BC	Homo sapiens (Human)	193
P02042	P02042	reviewed	HBD_HUMAN	Hemoglobin subunit delta (Delta-globin) (Hemoglobin delta chain)	HBD	Homo sapiens (Human)	147
Q16643	Q16643	reviewed	DREB_HUMAN	Drebrin (Developmentally-regulated brain protein)	DBN1 D0S117E	Homo sapiens (Human)	649
Q13308	Q13308	reviewed	PTK7_HUMAN	Inactive tyrosine-protein kinase 7 (Colon carcinoma kinase 4) (CCK-4) (Protein-tyrosine kinase 7) (Pseudo tyrosine kinase receptor 7) (Tyrosine-protein kinase-like 7)	PTK7 CCK4	Homo sapiens (Human)	1070
Q15043	Q15043	reviewed	S39AE_HUMAN	Metal cation symporter ZIP14 (LIV-1 subfamily of ZIP zinc transporter 4) (LZT-Hs4) (Solute carrier family 39 member 14) (Zrt- and Irt-like protein 14) (ZIP-14)	SLC39A14 KIAA0062 ZIP14	Homo sapiens (Human)	492
P27824	P27824	reviewed	CALX_HUMAN	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	Homo sapiens (Human)	592
Q8TF05	Q8TF05	reviewed	PP4R1_HUMAN	Serine/threonine-protein phosphatase 4 regulatory subunit 1	PPP4R1 MEG1 PP4R1	Homo sapiens (Human)	950
P59827	P59827	reviewed	BPIB4_HUMAN	BPI fold-containing family B member 4 (Ligand-binding protein RY2G5) (Long palate, lung and nasal epithelium carcinoma-associated protein 4)	BPIFB4 C20orf186 LPLUNC4	Homo sapiens (Human)	614
P62736	P62736	reviewed	ACTA_HUMAN	Actin, aortic smooth muscle (EC 3.6.4.-) (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46	Homo sapiens (Human)	377
